Material Ordering List,,,,,
Part Name,,,,,
Power Board PCB,Manufacturer Part #,Digikey Part #,Supplier,Code on Schematic,Price per unit (5/14/2024)
Barrell Jack,PJ-102B,CP-102B-ND,CUI Devices,J1,$0.65
Slide Switch,TS02CQE,CKN10666-ND,C&K,SW1 / SW2,$8.06
Diode SMD,DDZ16-7,31-DDZ16-7TR-ND,Diodes Incorporated,D1,$0.25
Resistor SMD,ERJ-2BWFR100X,P17368TR-ND,Panasonic Electronic Components,R1,$0.40
Capacitor SMD,CL05B104KP5NNNC,1276-1002-2-ND,Samsung Electro-Mechanics,C1,$0.10
Current Measuring Chip,INA219AIDCNR,296-23770-2-ND,Texas Instruments,U2,$2.50
Resistor SMD,RC0402JR-074K7L,311-4.7KJRTR-ND,YAGEO,R3 / R4,$0.10
Capacitor Thru-Hole,UVY1H0R1MDD1TD,493-12911-1-ND,Nichicon,C2,$0.28
5V Linear Regulator,LF50CDT-TR,497-1534-2-ND,STMicroelectronics,U1,$0.99
Diode Thru-Hole,SF28G,1655-SF28GCT-ND,SMC Diode Solutions,D2,$0.35
Capacitor SMD,GRM188R60J226MEA0D,490-7611-2-ND,Murata Electronics,C3,$0.15
Resistor SMD,RC1206FR-07510RL,311-510FRTR-ND,YAGEO,R2,$0.10
Power Board PCB,Custom,Custom,OSH Park,N/A,
,,,,,
Datalogging Board,Manufacturer Part #,Digikey Part #,Supplier,Code on Schematic,
3.3 V Linear Regulator,TC2014-3.3VCTTR,TC2014-3.3VCTTR-ND,Microchip Technology,U1,
Capacitor SMD,CL10B105KP8NNNC,1276-1946-2-ND,Samsung Electro-Mechanics,C1 / C2,
SD Module,B0B5H3421M,ASIN (Amazon),AOICRIE,Micro_SD1,
Real Time Clock Module,B08XQ8TT7Z,ASIN (Amazon),AOICRIE,RT1,
Ultrasonic Sensor,B0C73XZRFQ,ASIN (Amazon),Shutao,US1 / US2,
,,,,,
Separate Electronics and Parts,Manufacturer Part #,Supplier,Distributer #,,
Arduino Mega,Arduino Mega 2560 Rev3,Arduino(or Elegoo),,,
SIM Arduino Shield,Sim7000 LTE v.6.0,Botletics,,,
SIM Card,Global Hyper eUICC IOT,Hologram,,,
Battery (12 V),YB12011000-USB,TalentCell,,,
Wires (M/F),Multicolored Dupont Wire,Elegoo,,,
Pins and Headers (M/F),8541770554,Glarks,B07CWSXY7P (Amazon ASIN),,
MicroSD Card,5249,Adafruit,Digikey # 1528-5249-ND,,
,,,,,
Frame / Box Parts,Manufacturer Part #,Supplier,Amazon ASIN,Size,
Waterproof Electronics Box,B0B87V7QTH,TICONN,B0B87V7QTH,"4.3 x 6.7  x 8.7""",
Cable Glands,B4190,Tuparka,B0BLYSTRL5,,
Solar Panel 30W,BC-30W-ZM,Suner Power,,,
SAE to Barrel Jack Wire,SAEPCSP-1,E-Outstanding,B08JG9XW3C,,
