Material Ordering List,,,,,
Part Name,,,,,
Power Board PCB,Manufacturer Part #,Digikey Part #,Supplier,Code on Schematic,Price per unit (5/14/2024)
Barrell Jack,PJ-102B,CP-102B-ND,CUI Devices,J1,$0.65
Slide Switch,TS02CQE,CKN10666-ND,C&K,SW1 / SW2,$8.06
Diode SMD,DDZ16-7,31-DDZ16-7TR-ND,Diodes Incorporated,D1,$0.25
Resistor SMD,ERJ-2BWFR100X,P17368TR-ND,Panasonic Electronic Components,R1,$0.40
Capacitor SMD,CL05B104KP5NNNC,1276-1002-2-ND,Samsung Electro-Mechanics,C1,$0.10
Current Measuring Chip,INA219AIDCNR,296-23770-2-ND,Texas Instruments,U2,$2.50
Resistor SMD,RC0402JR-074K7L,311-4.7KJRTR-ND,YAGEO,R3 / R4,$0.10
Capacitor Thru-Hole,UVY1H0R1MDD1TD,493-12911-1-ND,Nichicon,C2,$0.28
5V Linear Regulator,LF50CDT-TR,497-1534-2-ND,STMicroelectronics,U1,$0.99
Diode Thru-Hole,SF28G,1655-SF28GCT-ND,SMC Diode Solutions,D2,$0.35
Capacitor SMD,GRM188R60J226MEA0D,490-7611-2-ND,Murata Electronics,C3,$0.15
Resistor SMD,RC1206FR-07510RL,311-510FRTR-ND,YAGEO,R2,$0.10
Power Board PCB,Custom,Custom,OSH Park,N/A,
,,,,,
Datalogging Board,Manufacturer Part #,Digikey Part #,Supplier,Code on Schematic,
3.3 V Linear Regulator,TC2014-3.3VCTTR,TC2014-3.3VCTTR-ND,Microchip Technology,U1,$0.49
Capacitor SMD,CL10B105KP8NNNC,1276-1946-2-ND,Samsung Electro-Mechanics,C1 / C2,$0.10
SD Module,B0B5H3421M,ASIN (Amazon),AOICRIE,Micro_SD1,$4.99 (for 12)
Real Time Clock Module,B09KPC8JZQ,ASIN (Amazon),AITRIP,RT1,$7.99 (for 3)
Ultrasonic Sensor,B0C73XZRFQ,ASIN (Amazon),Shutao,US1 / US2,$21.99 (for 5)
Datalogging Board PCB,Custom,Custom,OSH Park,N/A,
,,,,,
Separate Electronics and Parts,Manufacturer Part #,Supplier,Distributer #,,
Arduino Mega,Arduino Mega 2560 Rev3,Elegoo,,,$19.99
SIM Arduino Shield,Sim7000 LTE v.6.0,Botletics,Amazon ASIN B07H3XKNLH,,$69.00
SIM Card,Global Hyper eUICC IOT,Hologram,,,$5.00
Battery (12 V),YB12011000-USB,TalentCell,Amazon ASIN B016BJCRUO,,$61.99
Wires (M/F),Multicolored Dupont Wire,Elegoo,,,$6.59
Pins and Headers (M/F),8541770554,Glarks,Amazon ASIN B07CWSXY7P,,$12.98
MicroSD Card,5249,Adafruit,Digikey # 1528-5249-ND,,$3.61
,,,,,
Frame / Box Parts,Manufacturer Part #,Supplier,Amazon ASIN,Size,
Waterproof Electronics Box,B0B87V7QTH,TICONN,B0B87V7QTH,"4.3 x 6.7  x 8.7""",$26.96
Cable Glands,B4190,Tuparka,B0BLYSTRL5,,$13.89
Solar Panel 30W,BC-30W-ZM,Suner Power,,,$69.95
SAE to Barrel Jack Wire,SAEPCSP-1,E-Outstanding,B08JG9XW3C,,$7.99
